match_id,tsync,radiant_avg_distance,dire_avg_distance
569649581,1551,86.58511273,93.3208171
569716737,3979,75.10538033,65.50476174
579132234,4180,92.46288812,49.15197351
580607270,2463,79.94967277,73.70240547
580713548,2337,83.59396381,68.75024452
580795951,1552,84.35567947,70.77220996
588972183,1688,88.69143335,85.91748068
589072947,2524,75.93099823,62.07549679
589157786,2262,80.57070286,73.27036804
590348637,1851,85.5293441,79.33830987
590436483,2396,78.809919,90.30566213
590518928,1865,75.41187276,73.51611323
591705499,1634,92.07924998,89.71560961
591798786,2051,84.02754872,72.79570396
591890072,1664,75.29036601,80.07418154
593051940,1217,86.385444,90.72585907
593144800,2403,80.10871379,96.36512666
599472634,2242,66.40533405,90.23157515
599569853,1135,88.85653089,88.3949089
599633031,2754,78.29133293,72.04678841
600841581,2596,83.43466607,69.40658689
600946678,1524,86.69461312,87.38053653
601028596,1885,64.98498489,63.86931814
602248335,2676,80.45518239,78.9896009
602341542,2274,79.93710908,84.16511779
610263617,2084,70.06911554,68.35016083
610363820,1341,87.33628958,84.74679185
610451558,2451,81.76312531,67.54195648
611706372,1866,78.61310537,85.64545561
611805511,2267,80.41047629,78.54956725
613149649,3438,71.03684228,91.09667418
613258812,2974,73.88729539,72.49492693
621041235,2024,71.41811273,86.73419535
621214317,1825,89.02759101,89.67372287
621620590,2801,79.10596595,81.0883068
621624233,2791,73.23427516,64.02873137
621885923,1809,99.81401047,100.7488241
623172202,1859,82.51925056,88.3975976
623199714,2830,96.35637062,87.81813167
623246765,2187,89.5389658,85.80166372
623384981,2936,84.85373572,82.8783395
623642286,2393,92.50985598,95.50241773
624579175,2511,80.91825976,95.27105698
624608163,2766,87.33449612,75.89112037
624642968,3333,69.43057966,90.93400347
624692548,4040,87.31298818,78.98874571
624755961,2019,88.84622288,84.91414485
624816454,2559,92.57679735,87.26044292
625739549,4113,77.87134489,79.67847646
625840949,2348,81.47051026,72.77089101
625935277,1905,96.19166097,94.38114337
626519881,2996,82.96924354,75.4928704
626780627,2193,78.40560803,95.17922667
626855387,2341,84.05070145,85.16380637
627040007,4144,85.38392592,78.6373434
627083336,2158,87.6516246,73.46087432
627166226,1760,97.96366114,79.20043866
627616609,2063,84.21653187,80.8708046
627623750,1285,112.4555515,101.5438303
627677789,1631,88.30553785,89.22746756
627832188,2773,102.0948942,84.65740134
627845961,2230,109.9631294,119.6139507
628111860,2788,71.40061477,81.47431178
628172689,1837,104.9246562,90.40140095
628202167,1936,81.61061747,87.52367981
628238411,2443,106.0454513,89.10577831
628328743,3870,88.34440855,83.61341805
628546255,1947,57.795799,118.7449227
628557042,3326,97.61790727,94.62460054
629067363,1268,86.58714527,74.38724244
627845961,2230,109.9631294,119.6139507
634751129,1558,93.79061393,82.66144337
634790888,2387,72.82254589,83.91010367
636257744,1782,85.37394966,95.32417458
636303474,2508,78.82182682,92.08076135
636311751,2256,86.9377676,83.70077584
636342671,2746,92.13203741,94.732815
636381308,1873,78.79415438,75.91561142
636420810,2311,85.69092439,88.16256871
636469748,3616,89.50274961,75.48605189
636476209,90,112.095893,72.70028082
626780627,2193,78.40560803,95.17922667
636585258,3800,75.95585871,78.69199045
637461379,1530,91.46604245,100.7328587
638324033,2353,84.62811778,79.01759094
638374052,2185,103.5048026,88.89116397
638399346,1670,96.74434102,104.6088183
638431876,2979,82.89435167,85.60843978
638444119,1749,94.16636922,91.98794063
638514403,1844,99.60261551,113.091328
638646888,2037,74.06102132,96.57184087
639655565,2893,80.96680742,97.90893979
639915588,2555,80.08421665,88.99587622
639928171,1976,84.93167335,78.44388428
639943860,2287,77.67315079,79.47674363
639944687,3668,82.62063388,68.76274636
640022519,3561,71.03832841,76.68437625
640050884,2453,77.62067896,73.90576139
640088992,4154,60.8312245,65.89899416
640183396,3188,69.12858329,75.22348879
641405166,3309,84.44209158,81.0695429
641717130,2455,86.92459111,74.68258864
641756777,1886,97.84773717,110.4024415
641869130,1445,88.97965818,85.97141266
641876436,1344,96.25686477,94.97384127
642238139,3216,75.40107887,80.56668374
642864521,1800,90.52794625,104.4652839
643015651,3021,79.03983901,92.78927886
643051079,1168,91.98441911,98.21620708
643061665,1754,103.5434187,85.7558673
643121928,1682,85.75538755,89.26016963
643128080,2752,74.8682028,78.39618792
643208148,3740,76.45128158,70.17892379
643231908,2336,69.89750275,67.43932187
643346528,2696,88.66802039,83.01616561
643387304,2904,71.55993316,98.65444281
643438672,1950,98.37500517,90.85727415
643470370,2349,96.30214254,93.94735616
643511051,2488,81.01702411,79.07128707
643524414,3542,103.3972926,76.76283172
643538237,3516,78.82457968,77.32284717
643571475,2112,85.285037,103.6965114
643618598,2522,83.47647817,71.2478532
643624058,2496,81.31651047,82.47333647
643627112,3146,78.52875202,84.92125265
643651688,1612,88.3322121,90.35463589
643680312,1968,100.5379403,83.08822282
643721703,1635,83.52136734,86.54332974
643752615,2152,68.04691462,79.68549843
643721703,1635,83.52136734,86.54332974
643833001,2935,81.03664401,86.11383486
643837106,1050,106.6511593,96.60253949
644374912,2008,77.43011279,100.1431723
644561255,3135,77.53988244,92.01448332
644617314,2474,79.59510102,73.56883156
644676572,2440,86.3601043,91.75657838
644725431,2173,82.60678008,91.68027829
644745895,2149,87.5437654,71.77223893
644790017,545,83.41876768,106.457836
644837381,1623,88.93919832,75.9130838
644940512,3785,99.17626558,89.13131451
644941370,2552,85.13061019,84.3980104
644957827,2418,85.78597508,86.87228843
645037586,1644,80.79723692,95.35588229
645047492,1812,88.411434,89.97644037
645077087,3009,78.82274608,81.77339852
645093123,1571,92.90536695,74.81099403
645112787,4065,81.81413513,84.18226297
645138849,1472,91.99400347,90.45632631
645149155,2251,94.31361124,89.68675777
625840949,2348,81.47051026,72.77089101
645153730,1583,74.40562721,82.43458163
638374052,2185,103.5048026,88.89116397
645181933,2527,74.83357073,77.79221881
645191970,2000,80.79378155,97.51153628
645197172,3017,69.35049595,80.2605281
645199327,3252,66.20501696,83.78397062
645212603,3047,90.70962787,93.57288501
645223470,2513,77.52284723,80.22138967
645228608,1952,84.08102023,70.34832331
645231926,3409,74.22110588,78.37215498
645231935,2900,82.13783068,75.28771006
645252358,2347,70.36078339,73.91431845
645258275,1517,99.8601522,99.87746273
645260190,2178,92.60879854,92.83447323
645268274,1801,90.90868978,98.53066079
645274767,3144,82.56020651,64.73292217
645282289,1727,71.4476833,96.8611141
645284166,1732,87.59786642,73.49894724
623246765,2187,89.5389658,85.80166372
645312257,2359,68.2696086,74.25050817
645318558,1668,86.20001195,69.00881206
645319525,3476,76.63038465,79.1787107
645347209,2629,70.71603298,82.53004878
645358352,2466,78.56892684,87.08781114
645396133,1126,80.47261598,82.25456208
645867950,3087,79.14193343,81.59939678
646049346,3426,70.20329795,100.3325271
621041235,2024,71.41811273,86.73419535
646416200,1681,81.56621199,82.24936556
646501704,2097,73.59386221,83.66371724
647752500,2885,91.97133318,79.86325368
645181933,2527,74.83357073,77.79221881
647826183,2661,85.06790266,78.06012371
647868978,1234,88.5074951,91.40737511
647869043,3804,67.79129088,67.6111318
648005989,2046,86.22271963,75.67564684
648148700,1604,78.25629271,85.92252813
648170324,2588,83.80270307,74.20339441
648244534,2131,78.25090232,87.60869555
648246832,1790,77.8734292,83.26030268
648267400,2436,79.65380402,82.25302391
648271831,2894,77.52654357,88.29304482
648283764,2610,85.88401355,81.47111467